ProjectName,Address,Zipcode,TotalUnits,TotalAffordableUnits,UnitType,HousingType,Status,1PersonHousehold,2PersonHousehold,3PersonHousehold,4PersonHousehold,5PersonHousehold,PropertyManagementCompany,Phone,Website,Longitude,Latitude,Location
2502 Nueces Street,2502 Nueces Street,78705,46,5,Multifamily,Student Housing,Project Completed,36120,41280,46440,51600,55740,Cardinal Group,512-605-0040,https://www.ruckuslofts.com/,-97.743338,30.289642,"(30.289642, -97.743338)"
Avon at 22nd,911 W 22nd Street,78705,19,2,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,Central Properties,512-474-0111,http://www.avonat22nd.com,-97.747712,30.285403,"(30.285403, -97.747712)"
Villages at Fiskville,10127 Middle Fiskville Road,78753,172,155,Multifamily,Senior Housing,Building Permit Issued,48200,55050,61950,68800,74350,,512-434-0288,https://villagesatfiskville.com/,-97.681344,30.364435,"(30.364435, -97.681344)"
2203 Salina Street Rehab,2203 Salina Street,78722,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Blackland Community Development Corporation,512-220-8751,https://www.blacklandcdc.org/housing/,-97.722755,30.282993,"(30.282993, -97.722755)"
Gaston Tract,2511 W Braker Lane,78758,423,14,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.718506,30.389516,"(30.389516, -97.718506)"
Garden Terrace Phase III,1015 W William Cannon Drive,78745,20,20,Multifamily,Residential Housing,Building Permit Issued,30100,24400,38700,43000,46450,Foundation Communities,512-416-8300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.792919,30.198406,"(30.198406, -97.792919)"
Garden Terrace Phase III,1015 W William Cannon Drive,78745,20,20,Multifamily,Residential Housing,Building Permit Issued,30100,24400,38700,43000,46450,Foundation Communities,512-416-5300,http://foundcom.org/housing/our-austin-communities/garden-terrace/,-97.792919,30.198406,"(30.198406, -97.792919)"
Indie Apartments,1630 E 6th Street,78702,139,15,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Lincoln Property Company,512-474-6343,http://www.indieapartments.com,-97.724864,30.262479,"(30.262479, -97.724864)"
Plaza Saltillo,1011 E 5th Street,78702,278,41,Multifamily,Residential Housing,Building Permit Issued,30100,24400,38700,43000,46450,Lincoln Property Company,512-476-1000,https://www.residencesatsaltillo.com/residences-at-saltillo-austin-tx/,-97.732588,30.263744,"(30.263744, -97.732588)"
Elan Parkside Apartments,609 Clayton Lane,78752,309,31,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,Greystar,512-975-2869,https://www.greystar.com/?sc_lang=en,-97.715995,30.326874,"(30.326874, -97.715995)"
Aldrich 51,2604 Aldrich Street,78723,240,216,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,DMA Companies,512-328-3232,https://aldrich51.com/,-97.701803,30.304204,"(30.304204, -97.701803)"
Lamar Flats,3607 S Lamar Boulevard,78704,308,31,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Greystar,512-842-6658,https://www.greystar.com/properties/austin-tx/groves-south-lamar-apartments?sc_lang=en,-97.787767,30.238968,"(30.238968, -97.787767)"
South Shore Disctrict Apartments (South Shore PUD),1333 Shore District Drive,78741,500,13,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Grayco Partners,512-710-0242,http://www.southshoredistrict.com/,-97.727183,30.243505,"(30.243505, -97.727183)"
Heights on Parmer Phase Two,1500 E Parmer Lane,78753,80,80,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Pedcor Management Company,512-717-9112,http://www.pedcormanagement.com/Home?ID=270,-97.650793,30.390823,"(30.390823, -97.650793)"
Heights on Parmer Phase Two,1500 E Parmer Lane,78753,80,80,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Portico Property Management,512-598-0854,https://www.liveatparmerplace.com/,-97.650793,30.390823,"(30.390823, -97.650793)"
Estancia Villas,1200 Estancia Parkway,78748,312,31,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,JCI Residential,512-291-4040,http://www.estanciavillas.com,-97.806329,30.123555,"(30.123555, -97.806329)"
The Park at Estancia,820 Camino Vaquero Parkway,78652,320,32,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.804756,30.123941,"(30.123941, -97.804756)"
5006 West Wind Trail,5006 West Wind Trail,78745,4,3,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.80452,30.226519,"(30.226519, -97.80452)"
Westgate Ridge Multifamily,8700 Westgate Boulevard,78745,140,140,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Pedcor Management Company,512-717-5706,http://www.pedcormanagement.com/Home?ID=300,-97.832658,30.192697,"(30.192697, -97.832658)"
SafePlace 14 Unit Expansion,Undisclosed,78741,14,14,Multifamily,Transitional Housing,Project Completed,30100,24400,38700,43000,46450,,,,-97.705841,30.231371,"(30.231371, -97.705841)"
The Nine at Rio,2100 Rio Grande Street,78705,109,11,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,,737-777-9226,https://www.liveatninerio.com/,-97.745293,30.284272,"(30.284272, -97.745293)"
Guadalupe Saldana - Duplex,1220 Paul Theresa Saldana Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.702958,30.269889,"(30.269889, -97.702958)"
Guadalupe Saldana - Duplex,1216 Paul Theresa Saldana Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.70301,30.269795,"(30.269795, -97.70301)"
Guadalupe Saldana - Duplex,1212 Paul Theresa Saldana Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.703051,30.269697,"(30.269697, -97.703051)"
Guadalupe Saldana - Duplex,1208 Paul Theresa Saldana Street,78702,2,2,Duplex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.703096,30.269601,"(30.269601, -97.703096)"
Jeremiah House,1200 Paul Theresa Saldana Street,78702,35,35,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.703014,30.269267,"(30.269267, -97.703014)"
2200 Nueces Street,2200 Nueces Street,78705,439,44,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.744188,30.285401,"(30.285401, -97.744188)"
Mosaic at Mueller,4600 Mueller Boulevard,78723,441,44,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-474-5483,https://www.mosaicaustin.com/,-97.707922,30.298876,"(30.298876, -97.707922)"
Overture Mueller Apartments,4818 Berkman Drive,78723,201,30,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Greystar,512-942-0763,https://www.liveoverture.com/communities/austin-mueller/,-97.70043,30.3007,"(30.3007, -97.70043)"
Amli at Mueller,1900 Simond Avenue,78723,279,42,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Amli Residential,844-886-9487,https://www.amli.com/apartments/austin/central-austin/austin/mueller,-97.703698,30.29717,"(30.29717, -97.703698)"
AMLI at Mueller II,2401 Aldrich Street,78723,318,48,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Amli Residential,512-879-6744,https://www.amli.com/apartments/austin/central-austin/austin/aldrich?switch_code=58696,-97.702038,30.302392,"(30.302392, -97.702038)"
SYNC at Mueller,4646 Mueller Boulevard,78723,301,30,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Sync Residential,512-354-8431,https://www.syncatmueller.com/,-97.707066,30.299166,"(30.299166, -97.707066)"
Harris Ridge Apartments,1501 E Howard Lane,78754,324,324,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,NRP Group,844-678-8832,https://www.bridgeharrisridge.com/,-97.643651,30.406351,"(30.406351, -97.643651)"
West Koenig Flats,5608 Avenue F,78751,210,21,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Greystar,512-374-0733,https://www.westkoenigaustin.com/,-97.719384,30.321814,"(30.321814, -97.719384)"
48 East Ave,48 East Avenue,78701,240,7,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.738824,30.256483,"(30.256483, -97.738824)"
Arnold 2,1614 E 6th Street,78702,115,20,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Lincoln Property Company,512-861-0111,http://www.arnoldaustin.com,-97.725487,30.26298,"(30.26298, -97.725487)"
The Residences at The Domain,11400 Domain Drive,78758,390,39,Multifamily,Residential Housing,Project Completed,39150,44700,50300,55900,60350,UDR,512-237-7838,https://www.udr.com/austin-apartments/north-burnet/residences-at-the-domain/,-97.72493,30.400623,"(30.400623, -97.72493)"
The Villages at The Domain,11011 Domain Drive,78758,436,3,Multifamily,Residential Housing,Project Completed,39150,44700,50300,55900,60350,Lincoln Property Company,866-842-6770,https://www.lincolnapts.com/properties/villages-at-the-domain-austin-tx/connect,-97.725756,30.396506,"(30.396506, -97.725756)"
ACDDC - Alley Flat,1406 Ruth Avenue,78757,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,,,,-97.728433,30.338875,"(30.338875, -97.728433)"
North Shore Apartments (GWTP MDA),110 San Antonio Street,78701,439,50,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Hanover Company,512-559-7559,https://www.northshoreaustin.com/,-97.749563,30.265385,"(30.265385, -97.749563)"
AMLI - South Shore Phase I,1620 E Riverside Drive,78741,375,19,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Amli Residential,512-447-1620,https://www.amli.com/apartments/austin/central-east-austin/austin/south-shore,-97.730066,30.245117,"(30.245117, -97.730066)"
AMLI South Shore Phase II,1620 E Riverside Drive,78741,75,4,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,Amli Residential,512-447-1620,https://www.amli.com/apartments/austin/central-east-austin/austin/south-shore,-97.730198,30.245229,"(30.245229, -97.730198)"
Amli Eastside,1000 San Marcos Street,78702,290,29,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Amli Residential,512-476-8700,https://www.amli.com/apartments/austin/downtown/austin/eastside,-97.731273,30.268964,"(30.268964, -97.731273)"
FLORA Apartments,5406 Middle Fiskville Road,78751,194,19,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,512-323-5672,https://www.floraaustin.com/,-97.714957,30.316671,"(30.316671, -97.714957)"
The Creekview Apartment Homes,5001 Crainway Drive,78724,264,264,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.658889,30.319166,"(30.319166, -97.658889)"
The Guthrie II,3215 Gonzales Street,78702,12,1,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Cypress Residential,512-389-9097,https://theguthrieaustin.com/,-97.704573,30.258311,"(30.258311, -97.704573)"
Pathways at Goodrich Place,2126 Goodrich Avenue,78704,120,110,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Housing Authority of the City of Austin,512-447-0967,https://www.hacanet.org/location/goodrich-place/,-97.773865,30.248315,"(30.248315, -97.773865)"
Villas on Nueces,2207 Nueces Street,78705,99,10,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,,512-772-3636,https://www.villasonnueces.com/,-97.743575,30.285871,"(30.285871, -97.743575)"
Highland Phase II South,109 Jacob Fontaine Lane,78752,168,17,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.714668,30.324758,"(30.324758, -97.714668)"
Highland Phase II - North,110 Jacob Fontaine Lane,78752,222,22,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.714668,30.324758,"(30.324758, -97.714668)"
4008 Brookview (ADU),4008 Brookview Road,78722,1,1,Single Family,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.71003,30.294169,"(30.294169, -97.71003)"
St Johns West Apartments,601 W St Johns Avenue,78752,297,30,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.714785,30.337701,"(30.337701, -97.714785)"
Amli on 2nd,421 W 3rd Street,78701,231,12,Multifamily,Residential Housing,Project Completed,48200,55050,61950,68800,74350,Amli Residential,512-472-0421,https://www.amli.com/apartments/austin/downtown/austin/2nd-street/floorplans,-97.748074,30.266143,"(30.266143, -97.748074)"
700 E 11th Street,700 E 11th Street,78701,276,4,Multifamily,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.733918,30.271082,"(30.271082, -97.733918)"
Tricia & David Ciccocioppo (Homeowners) -Alley Flat,1608 Cedar Avenue,78702,1,1,ADU,Residential Housing,Building Permit Issued,48200,55050,61950,68800,74350,,,,-97.714054,30.278448,"(30.278448, -97.714054)"
Pathways at Chalmers Court - South,1638 E 2nd Street,78702,87,87,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Housing Authority of the City of Austin,512-447-0967,https://www.hacanet.org/location/goodrich-place/,-97.726547,30.259144,"(30.259144, -97.726547)"
Six Ten,620 W 24th Street,78705,67,7,Multifamily,Student Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.743941,30.288072,"(30.288072, -97.743941)"
GNDC Alley Flats,2808 Gonzales Street,78702,1,1,Single Family,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.708853,30.260303,"(30.260303, -97.708853)"
GNDC Alley Flats,2808 Gonzales Street,78702,1,1,ADU,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Guadalupe Neighborhood Development Corporation,512-479-6275,http://www.guadalupendc.org/,-97.708853,30.260303,"(30.260303, -97.708853)"
Yellowstone Apartments,1215 E 52nd Street,78723,16,16,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-452-8631,http://yellowstoneap.startlogic.com/,-97.706658,30.30867,"(30.30867, -97.706658)"
4910 West Wind Trail,4910 W Wind Trail,78745,4,3,FourPlex,Residential Housing,Project Completed,30100,24400,38700,43000,46450,Frameworks Community Development Corporation,512-385-1500,https://frameworkscdc.org/,-97.8042,30.227193,"(30.227193, -97.8042)"
Accessible Housing Austin! - SF,9407 Kempler Drive,78748,2,2,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://www.ahaustin.org,-97.822205,30.178196,"(30.178196, -97.822205)"
Accessible Housing Austin! - SF,7624 Cayenne Lane,78741,1,1,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://www.ahaustin.org,-97.691337,30.224075,"(30.224075, -97.691337)"
Accessible Housing Austin! - SF,7009 Thannas Way,78744,1,1,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://www.ahaustin.org,-97.756125,30.177723,"(30.177723, -97.756125)"
Accessible Housing Austin! - SF,3705 Tamil Street,78749,1,1,Single Family,Accessible Housing,Project Completed,30100,24400,38700,43000,46450,Accessible Housing Austin!,512-640-7781,http://www.ahaustin.org,-97.836008,30.211278,"(30.211278, -97.836008)"
IBM 45 Multifamily-Flatiron Domain,10727 Domain Drive,78758,363,39,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,Greystar,512-623-7527,https://flatirondomain.com/,-97.725581,30.393743,"(30.393743, -97.725581)"
Walnut Creek Apartments,6409 Springdale Rd,78723,98,98,Multifamily,Residential Housing,Building Permit Issued,36120,41280,46440,51600,55740,,,,-97.668769,30.30718,"(30.30718, -97.668769)"
The Reserve at Walnut Creek (fka Springdale Apartments),8038 Exchange Drive,78754,98,98,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Roscoe Properties,512-926-6565,https://www.reserveatwalnutcreek.com/,-97.664626,30.332583,"(30.332583, -97.664626)"
The Heights on South Congress (fka South Congress Village),2703 S Congress Avenue,78704,172,172,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,UAH Property Management,512-441-1437,https://www.heightsoncongress.com/,-97.756111,30.235242,"(30.235242, -97.756111)"
Santa Maria Village Apartments,8071 N Lamar Boulevard,78753,176,176,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,,,,-97.71088,30.348604,"(30.348604, -97.71088)"
Runnymeade Apartments,1101 Rutland Drive,78758,252,252,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-836-9711,,-97.702694,30.366941,"(30.366941, -97.702694)"
Rosemont at Oak Valley (fka Pleasant Valley Villas),2800 Collins Creek Drive,78741,280,280,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Good Harbor Management,512-326-5155,http://rosemontatoakvalley.com/,-97.731191,30.224565,"(30.224565, -97.731191)"
Fairway Village Apartments,6118 Fairway Street,78741,128,128,Multifamily,Residential Housing,Project Completed,30100,24400,38700,43000,46450,,512-386-8888,,-97.702416,30.229522,"(30.229522, -97.702416)"
Villas on Sixth,2011 E 6th Street,78702,160,136,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,Guardian Management,512-314-5483,https://www.villasonsixthapts.com/,-97.720192,30.260722,"(30.260722, -97.720192)"
Primrose at Shadow Creek (fka Arbors Creekside),1026 Clayton Lane,78723,176,176,Multifamily,Senior Housing,Project Completed,36120,41280,46440,51600,55740,Good Harbor Management,512-419-1525,http://primroseofshadowcreek.com/,-97.704317,30.319659,"(30.319659, -97.704317)"
Timbers Apartments,1034 Clayton Lane,78723,104,104,Multifamily,Residential Housing,Project Completed,36120,41280,46440,51600,55740,,512-459-1038,,-97.703606,30.319351,"(30.319351, -97.703606)"
Heritage Heights,1609 E 11th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.72386,30.267028,"(30.267028, -97.72386)"
Heritage Heights,1611 E 11th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.7237,30.266957,"(30.266957, -97.7237)"
Heritage Heights,1603 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724708,30.266283,"(30.266283, -97.724708)"
Heritage Heights,1605 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724673,30.266166,"(30.266166, -97.724673)"
Heritage Heights,1607 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724503,30.266121,"(30.266121, -97.724503)"
Heritage Heights,1610 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723987,30.266482,"(30.266482, -97.723987)"
Heritage Heights,1608 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724124,30.266574,"(30.266574, -97.724124)"
Heritage Heights,1604 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724337,30.266652,"(30.266652, -97.724337)"
Heritage Heights,1607 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724505,30.266118,"(30.266118, -97.724505)"
Heritage Heights,1608 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724707,30.265298,"(30.265298, -97.724707)"
Heritage Heights,1602 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724932,30.265855,"(30.265855, -97.724932)"
Heritage Heights,1600 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.725015,30.265715,"(30.265715, -97.725015)"
Heritage Heights,1605 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724973,30.26536,"(30.26536, -97.724973)"
Heritage Heights,1607 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724877,30.265309,"(30.265309, -97.724877)"
Heritage Heights,1609 E 9th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.724708,30.265297,"(30.265297, -97.724708)"
Heritage Heights,1621 E 11th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723149,30.266767,"(30.266767, -97.723149)"
Heritage Heights,1625 E 11th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.722927,30.266657,"(30.266657, -97.722927)"
Heritage Heights,1627 E 11th Street,78723,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.722927,30.266657,"(30.266657, -97.722927)"
Heritage Heights,1623 E 11th Steet,78723,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723054,30.266717,"(30.266717, -97.723054)"
Heritage Heights,1619 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.72366,30.265931,"(30.265931, -97.72366)"
Heritage Heights,1625 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723292,30.2657,"(30.2657, -97.723292)"
Heritage Heights,1624 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723095,30.266176,"(30.266176, -97.723095)"
Heritage Heights,1622 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723201,30.266259,"(30.266259, -97.723201)"
Heritage Heights,1626 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.723066,30.266016,"(30.266016, -97.723066)"
AHFC - SF,7212 Providence Avenue,78752,1,1,Single Family,Residential Housing,Project Completed,48200,55050,61950,68800,74350,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.696935,30.330556,"(30.330556, -97.696935)"
AHFC - SF,2008 E 10th Street,78702,1,1,Single Family,Residential Housing,Project Completed,36120,41280,46440,51600,55740,PRAK Property Management,512-808-7999,http://www.prakpropertymanagement.com/home.html,-97.71899,30.264686,"(30.264686, -97.71899)"
